Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,Category
A Zampa,2023-2023,11,11,96.0,1,515,23,4/8,22.39,5.36,25.0,-,-,2,-,Bowling
JR Hazlewood,2023-2023,11,11,93.1,8,449,16,3/38,28.06,4.81,34.9,-,-,4,-,Bowling
SA Abbott,2023-2023,1,1,10.0,-,61,2,2/61,30.50,6.10,30.0,-,-,1,-,Bowling
MA Starc,2023-2023,10,10,87.0,2,528,16,3/34,33.00,6.06,32.6,-,-,6,-,Bowling
PJ Cummins,2023-2023,11,11,89.3,1,515,15,3/51,34.33,5.75,35.8,-,-,4,-,Bowling
MP Stoinis,2023-2023,6,6,19.0,-,143,4,2/40,35.75,7.52,28.5,-,-,2,-,Bowling
MR Marsh,2023-2023,10,5,13.0,-,96,2,2/19,48.00,7.38,39.0,-,-,-,-,Bowling
TM Head,2023-2023,6,5,21.0,-,101,2,2/21,50.50,4.80,63.0,-,-,3,-,Bowling
GJ Maxwell,2023-2023,9,8,68.3,1,330,6,2/34,55.00,4.81,68.5,-,-,4,-,Bowling
C Green,2023-2023,3,1,2.0,-,11,0,-,0.00,5.50,-,-,-,2,-,Bowling
AT Carey,2023-2023,1,-,0.0,-,-,0,-,0.00,-,-,-,-,-,-,Bowling
JP Inglis,2023-2023,10,-,0.0,-,-,0,-,0.00,-,-,-,-,14,2,Bowling
M Labuschagne,2023-2023,11,-,0.0,-,-,0,-,0.00,-,-,-,-,8,-,Bowling
SPD Smith,2023-2023,10,-,0.0,-,-,0,-,0.00,-,-,-,-,2,-,Bowling
DA Warner,2023-2023,11,-,0.0,-,-,0,-,0.00,-,-,-,-,8,-,Bowling
