Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,Category
RG Sharma,2023-2023,11,1,0.5,-,7,1,1/7,7.00,8.40,5.0,-,-,2,-,Bowling
Mohammed Shami,2023-2023,7,7,48.5,4,257,24,7/57,10.70,5.26,12.2,3,-,2,-,Bowling
V Kohli,2023-2023,11,2,3.3,-,15,1,1/13,15.00,4.28,21.0,-,-,6,-,Bowling
JJ Bumrah,2023-2023,11,11,91.5,9,373,20,4/39,18.65,4.06,27.5,-,-,1,-,Bowling
HH Pandya,2023-2023,4,4,16.3,-,113,5,2/34,22.60,6.84,19.8,-,-,1,-,Bowling
RA Jadeja,2023-2023,11,11,93.3,4,398,16,5/33,24.87,4.25,35.0,1,-,7,-,Bowling
Kuldeep Yadav,2023-2023,11,11,95.1,2,424,15,2/7,28.26,4.45,38.0,-,-,2,-,Bowling
Mohammed Siraj,2023-2023,11,11,82.3,6,469,14,3/16,33.50,5.68,35.3,-,-,-,-,Bowling
R Ashwin,2023-2023,1,1,10.0,1,34,1,1/34,34.00,3.40,60.0,-,-,-,-,Bowling
SN Thakur,2023-2023,3,3,17.0,-,102,2,1/31,51.00,6.00,51.0,-,-,1,-,Bowling
Shubman Gill,2023-2023,9,1,2.0,-,11,0,-,0.00,5.50,-,-,-,6,-,Bowling
SA Yadav,2023-2023,7,1,2.0,-,17,0,-,0.00,8.50,-,-,-,1,-,Bowling
Ishan Kishan,2023-2023,2,-,0.0,-,-,0,-,0.00,-,-,-,-,-,-,Bowling
SS Iyer,2023-2023,11,-,0.0,-,-,0,-,0.00,-,-,-,-,5,-,Bowling
KL Rahul,2023-2023,11,-,0.0,-,-,0,-,0.00,-,-,-,-,16,1,Bowling
